通し番号,popup,遺産名,lat,lon,lat-修正,lon-修正,国,種類,文化遺産,自然遺産,複合遺産,登録年,(ⅰ),(ⅱ),(ⅲ),(ⅳ),(ⅴ),(ⅵ),(ⅶ),(ⅷ),(ⅸ),(ⅹ)
495,エルチェの椰子園/2000,エルチェの椰子園,38.26666667,-0.716666667,,,スペイン,文化遺産,1,0,0,2000,0,1,0,0,1,0,0,0,0,0
135,アルダビールのシャイフ・サフィ・アッディーン廟と関連建造物群/2010,アルダビールのシャイフ・サフィ・アッディーン廟と関連建造物群,38.24861111,48.29138889,,,イラン・イスラム共和国,文化遺産,1,0,0,2010,1,1,0,1,0,0,0,0,0,0
142,タブリーズの歴史的バザール群/2010,タブリーズの歴史的バザール群,38.08138889,46.29305556,,,イラン・イスラム共和国,文化遺産,1,0,0,2010,0,1,1,1,0,0,0,0,0,0
748,ネムルト・ダーの巨大墳墓/1987,ネムルト・ダーの巨大墳墓,38.03661111,38.76369444,,,トルコ共和国,文化遺産,1,0,0,1987,1,0,1,1,0,0,0,0,0,0
18,シャーロットヴィルのモンティチェロとヴァージニア大学/1987,シャーロットヴィルのモンティチェロとヴァージニア大学,38.03277778,-78.50388889,,,アメリカ合衆国,文化遺産,1,0,0,1987,1,0,0,1,0,1,0,0,0,0
494,ウベダとバエーサのルネサンス様式の記念碑的建造物群/2003,ウベダとバエーサのルネサンス様式の記念碑的建造物群,38.01130556,-3.371222222,,,スペイン,文化遺産,1,0,0,2003,0,1,0,1,0,0,0,0,0,0
740,ニサのパルティア王国の要塞/2007,ニサのパルティア王国の要塞,37.99972222,58.19861111,,,トルクメニスタン,文化遺産,1,0,0,2007,0,1,1,0,0,0,0,0,0,0
361,開城歴史遺跡地区/2013,開城歴史遺跡地区,37.98166667,126.5080556,,,北朝鮮（朝鮮民主主義人民共和国）,文化遺産,1,0,0,2013,0,1,1,0,0,0,0,0,0,0
755,エフェソス/2015,エフェソス,37.92916667,27.35944444,,,トルコ共和国,文化遺産,1,0,0,2015,0,0,1,1,0,1,0,0,0,0
749,ヒエラポリスとパムッカレ/1988,ヒエラポリスとパムッカレ,37.92388889,29.12333333,,,トルコ共和国,複合遺産,0,0,1,1988,0,0,1,1,0,0,1,0,0,0
754,ディヤルバクル要塞とヘヴセル庭園群の文化的景観/2015,ディヤルバクル要塞とヘヴセル庭園群の文化的景観,37.9031,40.23930833,,,トルコ共和国,文化遺産,1,0,0,2015,0,0,0,1,0,0,0,0,0,0
499,コルドバの歴史地区/1984,コルドバの歴史地区,37.87919444,-4.779722222,,,スペイン,文化遺産,1,0,0,1984,1,1,1,1,0,0,0,0,0,0
118,エトナ山/2013,エトナ山,37.75611111,14.99666667,,,イタリア共和国,自然遺産,0,1,0,2013,0,0,0,0,0,0,0,1,0,0
28,ヨセミテ国立公園/1984,ヨセミテ国立公園,37.74611111,-119.5966667,,,アメリカ合衆国,自然遺産,0,1,0,1984,0,0,0,0,0,0,1,1,0,0
389,ミケーネとティリンスの考古遺跡/1999,ミケーネとティリンスの考古遺跡,37.73333333,22.75,,,ギリシャ共和国,文化遺産,1,0,0,1999,1,1,1,1,0,1,0,0,0,0
739,国立歴史文化公園“メルヴ”/1999,国立歴史文化公園“メルヴ”,37.70083333,62.1775,,,トルクメニスタン,文化遺産,1,0,0,1999,0,1,1,0,0,0,0,0,0,0
382,サモス島のピタゴリオンとヘラ神殿/1992,サモス島のピタゴリオンとヘラ神殿,37.69083333,26.94333333,,,ギリシャ共和国,文化遺産,1,0,0,1992,0,1,1,0,0,0,0,0,0,0
379,エピダウロスにあるアスクレピオスの聖域/1988,エピダウロスにあるアスクレピオスの聖域,37.66666667,23.11666667,,,ギリシャ共和国,文化遺産,1,0,0,1988,1,1,1,1,0,1,0,0,0,0
751,チャタルヒュユクの新石器時代の遺跡/2012,チャタルヒュユクの新石器時代の遺跡,37.66666667,32.82805556,,,トルコ共和国,文化遺産,1,0,0,2012,0,1,0,1,0,0,0,0,0,0
380,オリンピアの考古遺跡/1989,オリンピアの考古遺跡,37.65,21.66666667,,,ギリシャ共和国,文化遺産,1,0,0,1989,1,1,1,1,0,1,0,0,0,0
575,昌徳宮/1997,昌徳宮,37.55,126.9833333,,,大韓民国,文化遺産,1,0,0,1997,0,1,1,1,0,0,0,0,0,0
577,宗廟/1995,宗廟,37.55,126.9833333,,,大韓民国,文化遺産,1,0,0,1995,0,0,0,1,0,0,0,0,0,0
580,南漢山城（ナムハンサンソン）/2014,南漢山城（ナムハンサンソン）,37.47888889,127.1811111,,,大韓民国,文化遺産,1,0,0,2014,0,1,0,1,0,0,0,0,0,0
377,ヴァッセのアポロン・エピクリオス神殿/1986,ヴァッセのアポロン・エピクリオス神殿,37.43497222,21.89694444,,,ギリシャ共和国,文化遺産,1,0,0,1986,1,1,1,0,0,0,0,0,0,0
388,デロス島/1990,デロス島,37.4,25.26666667,,,ギリシャ共和国,文化遺産,1,0,0,1990,0,1,1,1,0,1,0,0,0,0
507,セビーリャの大聖堂、アルカサル、インディアス古文書館/1987,セビーリャの大聖堂、アルカサル、インディアス古文書館,37.38383333,-5.991555556,,,スペイン,文化遺産,1,0,0,1987,1,1,1,0,0,1,0,0,0,0
84,ヴィッラ・ロマーナ・デル・カサーレ（古代ローマの別荘群）/1997,ヴィッラ・ロマーナ・デル・カサーレ（古代ローマの別荘群）,37.36611111,14.33416667,,,イタリア共和国,文化遺産,1,0,0,1997,1,1,1,0,0,0,0,0,0,0
384,パトモス島にある歴史地区（ホラ）：神学者聖ヨハネの修道院と黙示録の洞窟/1999,パトモス島にある歴史地区（ホラ）：神学者聖ヨハネの修道院と黙示録の洞窟,37.3,26.55,,,ギリシャ共和国,文化遺産,1,0,0,1999,0,0,1,1,0,1,0,0,0,0
76,アグリジェントの考古地区/1997,アグリジェントの考古地区,37.28972222,13.59333333,,,イタリア共和国,文化遺産,1,0,0,1997,1,1,1,1,0,0,0,0,0,0
572,水原の華城/1997,水原の華城,37.27222222,127.0083333,,,大韓民国,文化遺産,1,0,0,1997,0,1,1,0,0,0,0,0,0,0
